value,name,mnemonic,friendlyName,immediete,controlflow,pop,push,comment
129,i64_rem_s,i64.rem_s,rem_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
130,i64_rem_u,i64.rem_u,rem_i64_u,,,"[""Int64"",""Int64""]","[""Int64""]",
131,i64_and,i64.and,and_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
132,i64_or,i64.or,or_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
133,i64_xor,i64.xor,xor_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
134,i64_shl,i64.shl,shl_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
135,i64_shr_s,i64.shr_s,shr_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
136,i64_shr_u,i64.shr_u,shr_i64_u,,,"[""Int64"",""Int64""]","[""Int64""]",
137,i64_rotl,i64.rotl,rotl_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
138,i64_rotr,i64.rotr,rotr_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
139,f32_abs,f32.abs,abs_f32,,,"[""Float32""]","[""Float32""]",
140,f32_neg,f32.neg,neg_f32,,,"[""Float32""]","[""Float32""]",
141,f32_ceil,f32.ceil,ceil_f32,,,"[""Float32""]","[""Float32""]",
142,f32_floor,f32.floor,floor_f32,,,"[""Float32""]","[""Float32""]",
143,f32_trunc,f32.trunc,trunc_f32,,,"[""Float32""]","[""Float32""]",
144,f32_nearest,f32.nearest,nearest_f32,,,"[""Float32""]","[""Float32""]",
145,f32_sqrt,f32.sqrt,sqrt_f32,,,"[""Float32""]","[""Float32""]",
146,f32_add,f32.add,add_f32,,,"[""Float32"",""Float32""]","[""Float32""]",
147,f32_sub,f32.sub,sub_f32,,,"[""Float32"",""Float32""]","[""Float32""]",
148,f32_mul,f32.mul,mul_f32,,,"[""Float32"",""Float32""]","[""Float32""]",
149,f32_div,f32.div,div_f32,,,"[""Float32"",""Float32""]","[""Float32""]",
150,f32_min,f32.min,min_f32,,,"[""Float32"",""Float32""]","[""Float32""]",
151,f32_max,f32.max,max_f32,,,"[""Float32"",""Float32""]","[""Float32""]",
152,f32_copysign,f32.copysign,copysign_f32,,,"[""Float32"",""Float32""]","[""Float32""]",
153,f64_abs,f64.abs,abs_f64,,,"[""Float64""]","[""Float64""]",
154,f64_neg,f64.neg,neg_f64,,,"[""Float64""]","[""Float64""]",
155,f64_ceil,f64.ceil,ceil_f64,,,"[""Float64""]","[""Float64""]",
156,f64_floor,f64.floor,floor_f64,,,"[""Float64""]","[""Float64""]",
157,f64_trunc,f64.trunc,trunc_f64,,,"[""Float64""]","[""Float64""]",
158,f64_nearest,f64.nearest,nearest_f64,,,"[""Float64""]","[""Float64""]",
159,f64_sqrt,f64.sqrt,sqrt_f64,,,"[""Float64""]","[""Float64""]",
160,f64_add,f64.add,add_f64,,,"[""Float64"",""Float64""]","[""Float64""]",
161,f64_sub,f64.sub,sub_f64,,,"[""Float64"",""Float64""]","[""Float64""]",
162,f64_mul,f64.mul,mul_f64,,,"[""Float64"",""Float64""]","[""Float64""]",
163,f64_div,f64.div,div_f64,,,"[""Float64"",""Float64""]","[""Float64""]",
164,f64_min,f64.min,min_f64,,,"[""Float64"",""Float64""]","[""Float64""]",
165,f64_max,f64.max,max_f64,,,"[""Float64"",""Float64""]","[""Float64""]",
166,f64_copysign,f64.copysign,copysign_f64,,,"[""Float64"",""Float64""]","[""Float64""]",
167,i32_wrapi64,i32.wrap/i64,wrapi64_i32,,,"[""Int64""]","[""Int32""]",
168,i32_trunc_sf32,i32.trunc_s/f32,trunc_i32_f32,,,"[""Float32""]","[""Int32""]",
169,i32_trunc_uf32,i32.trunc_u/f32,trunc_i32_f32_u,,,"[""Float32""]","[""Int32""]",
